Tipo de Coeficiente,Coeficiente,Erro Padrão,AIC,BIC,store_id,Modelo,store_type,store_size,city_code
intercept,3139.4070485739626,645.2419353576992,2306.2224640843997,2317.8138232842034,S0095," ARIMA(1,0,0)(0,0,1)[52] intercept",ST02,44.0,ISTANBUL
ar.L1,0.5473336766429585,0.08303166174246907,2306.2224640843997,2317.8138232842034,S0095," ARIMA(1,0,0)(0,0,1)[52] intercept",ST02,44.0,ISTANBUL
ma.S.L52,0.5484687742501329,0.16693035743624537,2306.2224640843997,2317.8138232842034,S0095," ARIMA(1,0,0)(0,0,1)[52] intercept",ST02,44.0,ISTANBUL
sigma2,1436737.4588630758,196031.05003709078,2306.2224640843997,2317.8138232842034,S0095," ARIMA(1,0,0)(0,0,1)[52] intercept",ST02,44.0,ISTANBUL
intercept,8308.09527462765,1250.8401637640457,2890.5548394266684,2899.2483588265213,S0097," ARIMA(1,0,0)(0,0,0)[52] intercept",ST04,45.0,ISTANBUL
ar.L1,0.1682207805608562,0.05165373059228338,2890.5548394266684,2899.2483588265213,S0097," ARIMA(1,0,0)(0,0,0)[52] intercept",ST04,45.0,ISTANBUL
sigma2,131440872.53653103,0.26471656143888134,2890.5548394266684,2899.2483588265213,S0097," ARIMA(1,0,0)(0,0,0)[52] intercept",ST04,45.0,ISTANBUL
intercept,45.43884320662012,33.90802256246793,1710.1573579215828,1724.6465569213374,S0099," ARIMA(3,0,0)(0,0,0)[52] intercept",ST03,14.0,ISTANBUL
ar.L1,0.5276279933405705,0.07133047922018534,1710.1573579215828,1724.6465569213374,S0099," ARIMA(3,0,0)(0,0,0)[52] intercept",ST03,14.0,ISTANBUL
ar.L2,0.19084563603532306,0.08085178351107378,1710.1573579215828,1724.6465569213374,S0099," ARIMA(3,0,0)(0,0,0)[52] intercept",ST03,14.0,ISTANBUL
ar.L3,0.1806479708329327,0.0634524297097985,1710.1573579215828,1724.6465569213374,S0099," ARIMA(3,0,0)(0,0,0)[52] intercept",ST03,14.0,ISTANBUL
sigma2,18919.167239000017,1364.3476425936783,1710.1573579215828,1724.6465569213374,S0099," ARIMA(3,0,0)(0,0,0)[52] intercept",ST03,14.0,ISTANBUL
intercept,1129.4206816995763,126.55070608621381,2078.4519156573188,2087.1454350571717,S0102," ARIMA(1,0,0)(0,0,0)[52] intercept",ST04,27.0,ERZURUM
ar.L1,0.31426440477557,0.056347738756685306,2078.4519156573188,2087.1454350571717,S0102," ARIMA(1,0,0)(0,0,0)[52] intercept",ST04,27.0,ERZURUM
sigma2,304828.3835373544,32521.642071615042,2078.4519156573188,2087.1454350571717,S0102," ARIMA(1,0,0)(0,0,0)[52] intercept",ST04,27.0,ERZURUM
ar.L1,-0.6887786542138562,0.12886447869514506,2306.3260031548007,2320.7777487959092,S0104," ARIMA(1,1,2)(1,0,0)[52]          ",ST04,47.0,ANKARA
ma.L1,-0.019788538227860378,0.10391363237241974,2306.3260031548007,2320.7777487959092,S0104," ARIMA(1,1,2)(1,0,0)[52]          ",ST04,47.0,ANKARA
ma.L2,-0.7731695310859487,0.08097896533032763,2306.3260031548007,2320.7777487959092,S0104," ARIMA(1,1,2)(1,0,0)[52]          ",ST04,47.0,ANKARA
ar.S.L52,0.4889576726746487,0.05104922057886604,2306.3260031548007,2320.7777487959092,S0104," ARIMA(1,1,2)(1,0,0)[52]          ",ST04,47.0,ANKARA
sigma2,1639918.5127370674,127931.02189586754,2306.3260031548007,2320.7777487959092,S0104," ARIMA(1,1,2)(1,0,0)[52]          ",ST04,47.0,ANKARA
ma.L1,-0.6848553512081206,0.06830370751234414,1821.6791256112936,1836.1308712524024,S0107," ARIMA(0,1,2)(2,0,0)[52]          ",ST04,19.0,ISTANBUL
ma.L2,-0.23269206377567478,0.07748392863075157,1821.6791256112936,1836.1308712524024,S0107," ARIMA(0,1,2)(2,0,0)[52]          ",ST04,19.0,ISTANBUL
ar.S.L52,0.11804517689758556,0.055643303171574926,1821.6791256112936,1836.1308712524024,S0107," ARIMA(0,1,2)(2,0,0)[52]          ",ST04,19.0,ISTANBUL
ar.S.L104,0.614987402789889,0.13036436378032792,1821.6791256112936,1836.1308712524024,S0107," ARIMA(0,1,2)(2,0,0)[52]          ",ST04,19.0,ISTANBUL
sigma2,31657.373103338854,8600.802339170059,1821.6791256112936,1836.1308712524024,S0107," ARIMA(0,1,2)(2,0,0)[52]          ",ST04,19.0,ISTANBUL
