Tipo de Coeficiente;Coeficiente;Erro Padrão;AIC;BIC;store_id;Modelo;store_type;store_size;city_code
ar.S.L52;0,487677048;0,050809319;2322,589935;2337,079134;S0104; ARIMA(1,1,2)(1,0,0)[52]          ;ST04;47;ANKARA
sigma2;1630360,342;126307,411;2322,589935;2337,079134;S0104; ARIMA(1,1,2)(1,0,0)[52]          ;ST04;47;ANKARA
ar.L1;0,224336258;0,087872736;1836,11188;1850,601079;S0107; ARIMA(1,1,1)(2,0,0)[52]          ;ST04;19;ISTANBUL
ma.L1;-0,932082657;0,049855232;1836,11188;1850,601079;S0107; ARIMA(1,1,1)(2,0,0)[52]          ;ST04;19;ISTANBUL
ar.S.L52;0,1140879;0,054507595;1836,11188;1850,601079;S0107; ARIMA(1,1,1)(2,0,0)[52]          ;ST04;19;ISTANBUL
ar.S.L104;0,615057442;0,12860122;1836,11188;1850,601079;S0107; ARIMA(1,1,1)(2,0,0)[52]          ;ST04;19;ISTANBUL
sigma2;32032,74745;8489,279444;1836,11188;1850,601079;S0107; ARIMA(1,1,1)(2,0,0)[52]          ;ST04;19;ISTANBUL
ma.L1;-0,899657571;0,045133474;2210,888476;2222,479835;S0108; ARIMA(0,1,1)(2,0,0)[52]          ;ST04;35;ADAPAZARI
ar.S.L52;0,150636681;0,067189655;2210,888476;2222,479835;S0108; ARIMA(0,1,1)(2,0,0)[52]          ;ST04;35;ADAPAZARI
ar.S.L104;0,469250756;0,178466921;2210,888476;2222,479835;S0108; ARIMA(0,1,1)(2,0,0)[52]          ;ST04;35;ADAPAZARI
sigma2;636953,9456;135161,4469;2210,888476;2222,479835;S0108; ARIMA(0,1,1)(2,0,0)[52]          ;ST04;35;ADAPAZARI
intercept;32,95032283;21,50453692;663,3688357;668,9824387;S0109; ARIMA(0,1,1)(0,0,0)[0] intercept;ST04;20;ANTALYA
ma.L1;-0,383217048;0,14671361;663,3688357;668,9824387;S0109; ARIMA(0,1,1)(0,0,0)[0] intercept;ST04;20;ANTALYA
sigma2;51755,11815;11698,01832;663,3688357;668,9824387;S0109; ARIMA(0,1,1)(0,0,0)[0] intercept;ST04;20;ANTALYA
ma.L1;-0,784771381;0,066851007;1589,261529;1595,057209;S0120; ARIMA(0,1,1)(0,0,0)[52]          ;ST03;16;ISTANBUL
sigma2;7985,299773;886,6122967;1589,261529;1595,057209;S0120; ARIMA(0,1,1)(0,0,0)[52]          ;ST03;16;ISTANBUL
intercept;6,269608744;3,158246602;1849,917463;1861,508822;S0122; ARIMA(0,1,1)(0,0,1)[52] intercept;ST04;23;SANLIURFA
ma.L1;-0,888993211;0,03572612;1849,917463;1861,508822;S0122; ARIMA(0,1,1)(0,0,1)[52] intercept;ST04;23;SANLIURFA
