Tipo de Coeficiente,store_id,Modelo,store_type,store_size,city_code,SSE,AIC,BIC
na,S0143,media,ST03,13.0,ISTANBUL,1369472.3121797282,98.40395606667705,98.4833976083569
na,S0077,media,ST03,12.0,ISTANBUL,224098.93398995322,83.92321088998432,84.00265243166416
na,S0085,media,ST01,60.0,ISTANBUL,1078209437.4110777,151.7530082575641,151.83244979924393
na,S0072,media,ST04,29.0,ISTANBUL,64103110.52214193,129.17249524096133,129.25193678264117
na,S0038,media,ST01,63.0,BURSA,268422867.3698832,140.62906093277857,140.7085024744584
na,S0010,media,ST04,17.0,ISTANBUL,41551107.30253396,125.7039454968902,125.78338703857004
na,S0012,media,ST04,28.0,ANTALYA,23206225.651061483,121.04391684789273,121.12335838957257
na,S0014,media,ST03,14.0,ISTANBUL,4143513.1043,107.26090416162035,107.34034570330019
na,S0015,media,ST04,19.0,ISTANBUL,122819068.20899649,134.3742503881432,134.45369192982304
na,S0016,media,ST03,11.0,ISTANBUL,1068901.6665349966,96.42160526154524,96.50104680322508
na,S0020,media,ST04,36.0,ISTANBUL,1060305570.3491045,151.61905148609486,151.6984930277747
na,S0068,media,ST03,14.0,IZMIR,6447615.293964846,110.79823485489779,110.87767639657763
na,S0023,media,ST04,31.0,SANLIURFA,78499096.6786508,130.79324906982606,130.8726906115059
na,S0026,media,ST04,41.0,ISTANBUL,956419444.939354,150.79412466439834,150.87356620607818
na,S0030,media,ST03,13.0,KONYA,1776350.7965756068,100.48504129555333,100.56448283723317
na,S0032,media,ST03,14.0,VAN,2172302.490823346,102.09485341595253,102.17429495763237
na,S0022,media,ST04,16.0,ISTANBUL,6523757.077358898,110.89215572095894,110.97159726263878
na,S0039,media,ST03,15.0,ISTANBUL,3793342.9106462463,106.55453344869008,106.63397499036992
na,S0041,media,ST03,8.0,SAMSUN,40907.85273980841,70.31708624360017,70.39652778528001
na,S0045,media,ST04,17.0,SANLIURFA,2678367.702395501,103.77021247184527,103.84965401352511
na,S0050,media,ST04,31.0,ISTANBUL,48503753.299899995,126.94168159088329,127.02112313256313
na,S0052,media,ST04,17.0,ISTANBUL,5225728.344879173,109.11730560455757,109.19674714623741
na,S0055,media,ST04,24.0,ISTANBUL,8085249.147599688,112.6088825989468,112.68832414062665
na,S0056,media,ST04,42.0,ESKIIEHIR,285264002.3504149,141.1158727345303,141.19531427621015
na,S0058,media,ST04,17.0,ISTANBUL,26359269.343763392,122.06311205731564,122.14255359899548
na,S0062,media,ST04,47.0,ISTANBUL,599407105.9190935,147.05608020920218,147.13552175088202
na,S0067,media,ST04,16.0,ISTANBUL,34581252.056165144,124.23504562726143,124.31448716894127
na,S0040,media,ST04,42.0,KAHRAMANMARAS,85035043.40720624,131.43305970553206,131.5125012472119
na,S0059,media,ST03,15.0,ISTANBUL,5376708.94805895,109.34516386871726,109.4246054103971
na,S0136,media,ST03,12.0,ANTALYA,6204053.215963474,110.49017471398294,110.56961625566278
na,S0005,media,ST04,19.0,DENIZLI,23455372.922656804,121.12934885946825,121.2087904011481
na,S0036,media,ST04,21.0,DENIZLI,22973757.736416344,120.96337290265753,121.04281444433737
na,S0046,media,ST04,26.0,KAHRAMANMARAS,35344236.12199305,124.40963474896793,124.48907629064777
na,S0061,media,ST04,35.0,VAN,154017696.98421896,136.18509222062184,136.26453376230168
na,S0076,media,ST03,11.0,ISTANBUL,2021777.446265953,101.52036851748406,101.5998100591639
na,S0071,media,ST04,32.0,ISTANBUL,6062584.439756598,110.30564160526654,110.38508314694639
na,S0092,media,ST04,23.0,ANTALYA,8996915.57186272,113.4636065651459,113.54304810682574
na,S0109,media,ST04,20.0,ANTALYA,20783291.633363556,120.16174714661135,120.24118868829119
na,S0007,media,ST03,16.0,ISTANBUL,1185944.1874987655,97.25286605046475,97.33230759214459
