Tipo de Coeficiente,Coeficiente,p_value,inter_conf_inf,inter_conf_sup,AIC,BIC,store_id,Modelo,store_type,store_size,city_code
Primavera,825.8253666368856,0.004340972846524592,258.3495408694438,1393.3011924043276,2019.4532112384775,2089.001366437299,S0072," ARIMA(1,0,1)(1,0,1)[52] intercept",ST04,29.0,ISTANBUL
Verao,562.447322233615,0.13471133578785577,-174.54438689877315,1299.439031366003,2019.4532112384775,2089.001366437299,S0072," ARIMA(1,0,1)(1,0,1)[52] intercept",ST04,29.0,ISTANBUL
Outono,398.8810041578769,0.19974954219714391,-210.81521741830784,1008.5772257340616,2019.4532112384775,2089.001366437299,S0072," ARIMA(1,0,1)(1,0,1)[52] intercept",ST04,29.0,ISTANBUL
Feriados,298.92438587869714,0.051845241088238805,-2.3901827084653178,600.2389544658596,2019.4532112384775,2089.001366437299,S0072," ARIMA(1,0,1)(1,0,1)[52] intercept",ST04,29.0,ISTANBUL
ar.L1,0.7765379758905513,5.9862263819621916e-06,0.4403267058836282,1.1127492458974744,2019.4532112384775,2089.001366437299,S0072," ARIMA(1,0,1)(1,0,1)[52] intercept",ST04,29.0,ISTANBUL
ma.L1,-0.30487343728278976,0.15306503777637465,-0.7230885653361485,0.11334169077056905,2019.4532112384775,2089.001366437299,S0072," ARIMA(1,0,1)(1,0,1)[52] intercept",ST04,29.0,ISTANBUL
ar.S.L52,0.7855545930082759,0.6311671138177969,-2.4215013079686596,3.992610493985212,2019.4532112384775,2089.001366437299,S0072," ARIMA(1,0,1)(1,0,1)[52] intercept",ST04,29.0,ISTANBUL
ma.S.L52,-0.5595523468403514,0.7941512352443248,-4.762703819267694,3.6435991255869915,2019.4532112384775,2089.001366437299,S0072," ARIMA(1,0,1)(1,0,1)[52] intercept",ST04,29.0,ISTANBUL
sigma2,175943.15193730206,0.0016258321788315342,66512.22885387552,285374.0750207286,2019.4532112384775,2089.001366437299,S0072," ARIMA(1,0,1)(1,0,1)[52] intercept",ST04,29.0,ISTANBUL
stock_inicial,0.5148290686186353,1.8896249335970864e-07,0.32114968009089173,0.7085084571463789,1835.5645435284555,1902.2148589273265,S0073," ARIMA(3,0,0)(0,0,1)[52]          ",ST04,19.0,ISTANBUL
Probin1_very_low,-0.011148186325220718,0.9937157300003167,-2.7853180205553,2.763021647904859,1835.5645435284555,1902.2148589273265,S0073," ARIMA(3,0,0)(0,0,1)[52]          ",ST04,19.0,ISTANBUL
Probin1_low,1.464123834789043,0.5582198166871798,-3.4371402799143667,6.365387949492453,1835.5645435284555,1902.2148589273265,S0073," ARIMA(3,0,0)(0,0,1)[52]          ",ST04,19.0,ISTANBUL
Probin1_moderate,0.8505494001801952,0.6982824194370616,-3.449950900155121,5.151049700515511,1835.5645435284555,1902.2148589273265,S0073," ARIMA(3,0,0)(0,0,1)[52]          ",ST04,19.0,ISTANBUL
Probin1_high,-1.815676586853442,0.5359115969268093,-7.564657461208517,3.933304287501633,1835.5645435284555,1902.2148589273265,S0073," ARIMA(3,0,0)(0,0,1)[52]          ",ST04,19.0,ISTANBUL
Probin1_very_high,3.8126303050592143,0.28288256511682286,-3.1459802754397486,10.771240885558177,1835.5645435284555,1902.2148589273265,S0073," ARIMA(3,0,0)(0,0,1)[52]          ",ST04,19.0,ISTANBUL
Probin2_very_low,1.5919851296792573e-13,1.0,-184823.49791369544,184823.49791369544,1835.5645435284555,1902.2148589273265,S0073," ARIMA(3,0,0)(0,0,1)[52]          ",ST04,19.0,ISTANBUL
Probin2_high,-1.1629653200099282e-13,1.0,-184823.58648080713,184823.58648080713,1835.5645435284555,1902.2148589273265,S0073," ARIMA(3,0,0)(0,0,1)[52]          ",ST04,19.0,ISTANBUL
Probin2_very_high,-3.748236899606252e-14,1.0,-184823.64936926533,184823.64936926533,1835.5645435284555,1902.2148589273265,S0073," ARIMA(3,0,0)(0,0,1)[52]          ",ST04,19.0,ISTANBUL
promo_discount_16,0.0,1.0,-184823.67635172032,184823.67635172032,1835.5645435284555,1902.2148589273265,S0073," ARIMA(3,0,0)(0,0,1)[52]          ",ST04,19.0,ISTANBUL
promo_discount_20,0.0,1.0,-184823.60736029304,184823.60736029304,1835.5645435284555,1902.2148589273265,S0073," ARIMA(3,0,0)(0,0,1)[52]          ",ST04,19.0,ISTANBUL
promo_discount_35,0.0,1.0,-184823.60691951594,184823.60691951594,1835.5645435284555,1902.2148589273265,S0073," ARIMA(3,0,0)(0,0,1)[52]          ",ST04,19.0,ISTANBUL
promo_discount_40,0.0,1.0,-184823.60702572024,184823.60702572024,1835.5645435284555,1902.2148589273265,S0073," ARIMA(3,0,0)(0,0,1)[52]          ",ST04,19.0,ISTANBUL
promo_discount_50,0.0,1.0,-184823.6070780785,184823.6070780785,1835.5645435284555,1902.2148589273265,S0073," ARIMA(3,0,0)(0,0,1)[52]          ",ST04,19.0,ISTANBUL
Primavera,90.90607091341623,0.5266849596797077,-190.53412349920666,372.3462653260391,1835.5645435284555,1902.2148589273265,S0073," ARIMA(3,0,0)(0,0,1)[52]          ",ST04,19.0,ISTANBUL
