Tipo de Coeficiente;Coeficiente;Erro Padrão;AIC;BIC;store_id;Modelo
ma.L3;0,163007292;0,125427879;1720,010042;1733,734702;S0085; ARIMA(0,0,3)(0,0,0)[0] intercept
sigma2;167377,5442;17414,14786;1720,010042;1733,734702;S0085; ARIMA(0,0,3)(0,0,0)[0] intercept
intercept;15,39222509;7,628792794;1003,644771;1014,624499;S0086; ARIMA(1,0,1)(0,0,0)[0] intercept
ar.L1;0,817693394;0,089618929;1003,644771;1014,624499;S0086; ARIMA(1,0,1)(0,0,0)[0] intercept
ma.L1;-0,384648752;0,140583596;1003,644771;1014,624499;S0086; ARIMA(1,0,1)(0,0,0)[0] intercept
sigma2;335,4485966;47,71449282;1003,644771;1014,624499;S0086; ARIMA(1,0,1)(0,0,0)[0] intercept
intercept;232,6263043;111,8932954;1581,534908;1587,024772;S0088; ARIMA(0,0,0)(0,0,0)[0] intercept
sigma2;53093,92463;5060,72864;1581,534908;1587,024772;S0088; ARIMA(0,0,0)(0,0,0)[0] intercept
intercept;37,19510126;11,62789588;1021,817369;1035,54203;S0089; ARIMA(3,0,0)(0,0,0)[0] intercept
ar.L1;0,233126897;0,089371142;1021,817369;1035,54203;S0089; ARIMA(3,0,0)(0,0,0)[0] intercept
ar.L2;-0,012505406;0,10439711;1021,817369;1035,54203;S0089; ARIMA(3,0,0)(0,0,0)[0] intercept
ar.L3;0,358676618;0,091531261;1021,817369;1035,54203;S0089; ARIMA(3,0,0)(0,0,0)[0] intercept
sigma2;386,1621784;52,42870122;1021,817369;1035,54203;S0089; ARIMA(3,0,0)(0,0,0)[0] intercept
intercept;142,3206843;36,86254516;1264,558024;1275,537752;S0091; ARIMA(2,0,0)(0,0,0)[0] intercept
ar.L1;0,264635073;0,085979732;1264,558024;1275,537752;S0091; ARIMA(2,0,0)(0,0,0)[0] intercept
ar.L2;0,141516033;0,165266024;1264,558024;1275,537752;S0091; ARIMA(2,0,0)(0,0,0)[0] intercept
sigma2;3288,762098;253,223109;1264,558024;1275,537752;S0091; ARIMA(2,0,0)(0,0,0)[0] intercept
ma.L1;-0,289885569;0,13085603;512,7755047;516,5591453;S0092; ARIMA(0,1,1)(0,0,0)[0]          
sigma2;1888,700734;321,6213372;512,7755047;516,5591453;S0092; ARIMA(0,1,1)(0,0,0)[0]          
ar.L1;0,413862819;0,102074759;1419,428344;1427,63694;S0094; ARIMA(1,1,1)(0,0,0)[0]          
ma.L1;-0,8445464;0,055893338;1419,428344;1427,63694;S0094; ARIMA(1,1,1)(0,0,0)[0]          
sigma2;14115,5105;1457,775173;1419,428344;1427,63694;S0094; ARIMA(1,1,1)(0,0,0)[0]          
intercept;421,8848471;67,89981849;1454,410727;1462,645523;S0095; ARIMA(1,0,0)(0,0,0)[0] intercept
ar.L1;0,582632969;0,061655254;1454,410727;1462,645523;S0095; ARIMA(1,0,0)(0,0,0)[0] intercept
sigma2;17212,5306;1274,976433;1454,410727;1462,645523;S0095; ARIMA(1,0,0)(0,0,0)[0] intercept
ma.L1;-0,899172692;0,043025478;2292,054588;2297,526985;S0097; ARIMA(0,1,1)(0,0,0)[0]          
sigma2;30189107,84;1,04E-09;2292,054588;2297,526985;S0097; ARIMA(0,1,1)(0,0,0)[0]          
intercept;15,03962329;10,86942653;1163,675014;1174,654743;S0099; ARIMA(2,0,0)(0,0,0)[0] intercept
ar.L1;0,541682884;0,059812325;1163,675014;1174,654743;S0099; ARIMA(2,0,0)(0,0,0)[0] intercept
ar.L2;0,344391727;0,062437872;1163,675014;1174,654743;S0099; ARIMA(2,0,0)(0,0,0)[0] intercept
sigma2;1338,48582;116,472039;1163,675014;1174,654743;S0099; ARIMA(2,0,0)(0,0,0)[0] intercept
intercept;111,0570675;50,12151777;1303,247163;1314,226891;S0102; ARIMA(1,0,1)(0,0,0)[0] intercept
ar.L1;0,704397701;0,133023694;1303,247163;1314,226891;S0102; ARIMA(1,0,1)(0,0,0)[0] intercept
ma.L1;-0,313467392;0,17299088;1303,247163;1314,226891;S0102; ARIMA(1,0,1)(0,0,0)[0] intercept
sigma2;4549,086602;456,1142482;1303,247163;1314,226891;S0102; ARIMA(1,0,1)(0,0,0)[0] intercept
intercept;499,4153731;79,39458561;1552,68434;1560,919137;S0104; ARIMA(1,0,0)(0,0,0)[0] intercept
ar.L1;0,453526255;0,066997885;1552,68434;1560,919137;S0104; ARIMA(1,0,0)(0,0,0)[0] intercept
sigma2;40480,49537;3007,173708;1552,68434;1560,919137;S0104; ARIMA(1,0,0)(0,0,0)[0] intercept
ar.L1;0,409087217;0,114572254;1135,713285;1146,658079;S0107; ARIMA(2,1,1)(0,0,0)[0]          
ar.L2;0,154713713;0,128313599;1135,713285;1146,658079;S0107; ARIMA(2,1,1)(0,0,0)[0]          
ma.L1;-0,918997313;0,079901699;1135,713285;1146,658079;S0107; ARIMA(2,1,1)(0,0,0)[0]          
sigma2;1150,086759;106,4813565;1135,713285;1146,658079;S0107; ARIMA(2,1,1)(0,0,0)[0]          
intercept;349,5963193;65,13535569;1381,17269;1389,407486;S0108; ARIMA(1,0,0)(0,0,0)[0] intercept
ar.L1;0,332056681;0,120153533;1381,17269;1389,407486;S0108; ARIMA(1,0,0)(0,0,0)[0] intercept
sigma2;9207,959576;1056,617856;1381,17269;1389,407486;S0108; ARIMA(1,0,0)(0,0,0)[0] intercept
sigma2;2080,384371;397,0231747;473,51832;475,3249825;S0109; ARIMA(0,1,0)(0,0,0)[0]          
intercept;17,49601621;9,972931025;1023,164363;1034,144091;S0120; ARIMA(1,0,1)(0,0,0)[0] intercept
ar.L1;0,819519388;0,101212691;1023,164363;1034,144091;S0120; ARIMA(1,0,1)(0,0,0)[0] intercept
ma.L1;-0,511304956;0,148059287;1023,164363;1034,144091;S0120; ARIMA(1,0,1)(0,0,0)[0] intercept
sigma2;398,1374104;49,08778048;1023,164363;1034,144091;S0120; ARIMA(1,0,1)(0,0,0)[0] intercept
intercept;58,31124528;37,77069896;1275,209148;1286,188877;S0122; ARIMA(1,0,1)(0,0,0)[0] intercept
ar.L1;0,794111155;0,130330227;1275,209148;1286,188877;S0122; ARIMA(1,0,1)(0,0,0)[0] intercept
ma.L1;-0,439680793;0,181279282;1275,209148;1286,188877;S0122; ARIMA(1,0,1)(0,0,0)[0] intercept
sigma2;3562,883993;207,2333104;1275,209148;1286,188877;S0122; ARIMA(1,0,1)(0,0,0)[0] intercept
intercept;130,6551674;45,70713845;1324,375653;1335,355381;S0126; ARIMA(1,0,1)(0,0,0)[0] intercept
ar.L1;0,76057056;0,084552971;1324,375653;1335,355381;S0126; ARIMA(1,0,1)(0,0,0)[0] intercept
ma.L1;-0,26866272;0,126854922;1324,375653;1335,355381;S0126; ARIMA(1,0,1)(0,0,0)[0] intercept
sigma2;5457,523815;586,5749335;1324,375653;1335,355381;S0126; ARIMA(1,0,1)(0,0,0)[0] intercept
intercept;229,0891771;42,29056545;1236,721415;1244,956211;S0131; ARIMA(1,0,0)(0,0,0)[0] intercept
ar.L1;0,256114415;0,131355375;1236,721415;1244,956211;S0131; ARIMA(1,0,0)(0,0,0)[0] intercept
sigma2;2576,34724;159,4293941;1236,721415;1244,956211;S0131; ARIMA(1,0,0)(0,0,0)[0] intercept
ma.L1;-0,764538363;0,058856447;1409,915666;1415,388063;S0132; ARIMA(0,1,1)(0,0,0)[0]          
sigma2;13198,50001;851,2072912;1409,915666;1415,388063;S0132; ARIMA(0,1,1)(0,0,0)[0]          
intercept;41,44136282;21,7350185;452,9106975;458,0514137;S0136; ARIMA(1,0,0)(0,0,0)[0] intercept
ar.L1;0,712195015;0,126714203;452,9106975;458,0514137;S0136; ARIMA(1,0,0)(0,0,0)[0] intercept
sigma2;3118,220844;977,3101491;452,9106975;458,0514137;S0136; ARIMA(1,0,0)(0,0,0)[0] intercept
intercept;13,81569485;11,82566312;1111,289913;1122,269641;S0141; ARIMA(1,0,1)(0,0,0)[0] intercept
ar.L1;0,912645783;0,073961187;1111,289913;1122,269641;S0141; ARIMA(1,0,1)(0,0,0)[0] intercept
ma.L1;-0,72086443;0,114388319;1111,289913;1122,269641;S0141; ARIMA(1,0,1)(0,0,0)[0] intercept
sigma2;832,8737128;89,27197711;1111,289913;1122,269641;S0141; ARIMA(1,0,1)(0,0,0)[0] intercept
intercept;231,6090923;55,9311197;1409,671327;1417,906124;S0142; ARIMA(1,0,0)(0,0,0)[0] intercept
ar.L1;0,229496616;0,176601526;1409,671327;1417,906124;S0142; ARIMA(1,0,0)(0,0,0)[0] intercept
sigma2;11701,60157;551,9445828;1409,671327;1417,906124;S0142; ARIMA(1,0,0)(0,0,0)[0] intercept
intercept;20,23263478;14,95706429;1043,682319;1054,662047;S0143; ARIMA(1,0,1)(0,0,0)[0] intercept
ar.L1;0,814056383;0,134108293;1043,682319;1054,662047;S0143; ARIMA(1,0,1)(0,0,0)[0] intercept
ma.L1;-0,524968433;0,245638329;1043,682319;1054,662047;S0143; ARIMA(1,0,1)(0,0,0)[0] intercept
sigma2;476,0370924;32,5609095;1043,682319;1054,662047;S0143; ARIMA(1,0,1)(0,0,0)[0] intercept
